Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
1,17,213.23036193847656,-47.44704818725586,-308.0435485839844,1.0,0.0,0.0,0.0,0.0
1000,18,184.8404998779297,-2.0907247066497803,304.8160095214844,0.0,0.0,0.0,0.0,0.0
1001,21,196.2573699951172,50.764591217041016,52.59601974487305,1.0,1.0,1.0,1.0,1.0
1003,5,123.01332092285156,-67.16421508789062,51.08888626098633,1.0,1.0,1.0,1.0,1.0
1003,24,113.31080627441406,-128.69898986816406,194.81336975097656,0.0,0.0,0.0,0.0,0.0
1004,17,245.48876953125,-60.836917877197266,14.289196014404297,1.0,1.0,1.0,1.0,1.0
1004,22,201.4926300048828,-84.18173217773438,-144.99473571777344,0.0,0.0,1.0,1.0,1.0
1005,12,142.18142700195312,-89.81908416748047,539.054931640625,0.0,1.0,1.0,0.0,0.0
1007,27,304.2960205078125,22.935731887817383,649.0758666992188,0.0,0.0,1.0,1.0,1.0
1008,9,216.72315979003906,-5.106701850891113,488.57672119140625,0.0,0.0,0.0,0.0,0.0
1008,16,181.65304565429688,53.62622833251953,-384.0657958984375,0.0,0.0,1.0,1.0,1.0
1008,38,238.423828125,-46.07563781738281,-675.20458984375,1.0,1.0,1.0,1.0,1.0
1008,39,307.0489501953125,-32.370967864990234,184.8064422607422,1.0,1.0,1.0,1.0,1.0
1009,1,141.2019805908203,92.87557220458984,-563.1441040039062,0.0,0.0,0.0,0.0,0.0
1009,4,179.82138061523438,-5.063581943511963,472.12481689453125,0.0,1.0,1.0,0.0,0.0
101,37,180.6737518310547,14.974422454833984,437.79205322265625,1.0,0.0,0.0,0.0,0.0
1011,12,122.29647827148438,27.841388702392578,-512.0874633789062,1.0,1.0,1.0,1.0,1.0
1011,17,108.19866180419922,73.24840545654297,-502.30572509765625,1.0,1.0,1.0,1.0,1.0
1012,25,179.5227813720703,-17.77241325378418,-666.1034545898438,1.0,1.0,1.0,1.0,1.0
1012,38,113.01033020019531,-11.285274505615234,-461.4337463378906,0.0,0.0,0.0,1.0,1.0
1014,38,248.92552185058594,2.3959531784057617,234.23606872558594,1.0,1.0,1.0,1.0,1.0
1015,14,159.61875915527344,29.044803619384766,-79.14837646484375,0.0,1.0,1.0,1.0,1.0
1015,16,266.2438659667969,-14.10702133178711,183.3009033203125,0.0,1.0,1.0,1.0,1.0
1015,18,105.61227416992188,-45.068355560302734,-819.250732421875,0.0,0.0,0.0,1.0,1.0
1018,12,141.38125610351562,-101.34584045410156,694.9024047851562,1.0,1.0,1.0,1.0,1.0
1019,34,147.8799591064453,-30.43623161315918,-246.42518615722656,1.0,1.0,1.0,1.0,1.0
